Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D1,1N4148,D_SOD-123,159.33,-75.27,320,top
D2,1N4148,D_SOD-123,167.39,-89.18,280,top
D3,1N4148,D_SOD-123,164.49,-105.39,240,top
D4,1N4148,D_SOD-123,151.89,-115.61,200,top
D5,1N4148,D_SOD-123,136.05,-115.21,160,top
D6,1N4148,D_SOD-123,124.15,-104.77,120,top
D7,1N4148,D_SOD-123,121.44,-89.36,80,top
D8,1N4148,D_SOD-123,129.38,-75.34,40,top
D10,LED,LED_0805_2012Metric,144.38,-70.51,0,top
J1,INPUT1,Jack_3.5mm_PJ311_Horizontal,167.99,-64.91,320,top
J2,INPUT2,Jack_3.5mm_PJ311_Horizontal,180.68,-86.83,280,top
J3,INPUT3,Jack_3.5mm_PJ311_Horizontal,176.33,-111.64,240,top
J4,INPUT4,Jack_3.5mm_PJ311_Horizontal,156.93,-127.93,200,top
J5,INPUT5,Jack_3.5mm_PJ311_Horizontal,131.755702,-127.861329,160,top
J6,INPUT6,Jack_3.5mm_PJ311_Horizontal,112.48,-111.73,120,top
J7,INPUT7,Jack_3.5mm_PJ311_Horizontal,108.06,-86.88,80,top
J8,INPUT8,Jack_3.5mm_PJ311_Horizontal,120.66,-65.01,40,top
J9,OUT,Jack_3.5mm_PJ311_Horizontal,144.27,-56.35,0,top
R1,10k,R_0603_1608Metric,144.43,-76.5,0,top
R2,1k,R_0603_1608Metric,144.43,-73.74,0,top
